EmployeeID,Age,Department,YearsAtCompany,YearsInCurrentRole,YearsWithCurrentManager,JobLevel,JobSatisfaction,Salary,Attrition,WorkLifeBalance,OverTime,MaritalStatus,DistanceFromHome,Education
24,29,Sales,2,11,6.0,2,1.0,69685.0,No,1,No,Divorced,25,College
865,28,Sales,22,6,5.0,2,2.0,57823.0,No,2,No,Married,7,College
463,27,Engineering,18,6,8.0,5,1.0,118568.0,No,3,Yes,Divorced,37,College
868,23,Marketing,20,13,3.0,1,2.0,148336.0,No,1,No,Divorced,33,Bachelor
2928,39,HR,25,12,2.0,4,3.0,44332.0,No,4,Yes,Divorced,17,Bachelor
2577,56,Finance,1,1,8.0,4,3.0,125515.0,No,4,Yes,Single,19,Master
1663,50,HR,39,2,1.0,3,4.0,125299.0,No,1,No,Single,31,Bachelor
1952,19,HR,6,4,8.0,5,1.0,46967.0,Yes,3,Yes,Divorced,40,Below College
2424,57,Marketing,2,5,3.0,1,4.0,31767.0,No,1,Yes,Single,3,Bachelor
1219,55,HR,1,2,2.0,3,2.0,139932.0,Yes,1,Yes,Divorced,44,Doctor
1875,47,HR,27,1,8.0,5,1.0,72083.0,No,4,Yes,Single,21,Bachelor
1445,32,Engineering,26,14,6.0,1,2.0,35597.0,No,1,No,Single,23,College
2027,25,Finance,16,7,2.0,4,3.0,111846.0,No,1,Yes,Divorced,3,Bachelor
2689,18,Finance,25,5,3.0,2,1.0,117964.0,No,1,No,Married,20,Bachelor
2338,50,HR,27,1,8.0,5,2.0,131601.0,No,1,No,Married,28,Master
1719,30,Finance,6,11,3.0,4,3.0,80528.0,Yes,3,No,Divorced,3,College
640,30,Finance,24,1,2.0,4,3.0,105103.0,Yes,3,Yes,Married,41,Master
1792,23,Engineering,11,14,9.0,3,3.0,146245.0,No,1,No,Single,17,College
857,54,HR,4,6,4.0,1,1.0,48823.0,No,1,No,Single,5,College
2698,33,Finance,31,7,1.0,2,2.0,148960.0,No,3,Yes,Married,39,Below College
916,48,Engineering,24,13,2.0,5,4.0,47986.0,Yes,3,No,Married,15,Master
2436,56,Marketing,30,5,2.0,3,3.0,77031.0,No,2,No,Married,39,Doctor
1329,35,Finance,3,9,4.0,3,3.0,132348.0,No,4,No,Married,16,Below College
937,54,Marketing,31,13,8.0,3,3.0,67429.0,No,1,Yes,Divorced,35,Doctor
1032,22,Sales,39,4,5.0,1,2.0,32838.0,Yes,2,No,Divorced,18,College
497,49,HR,36,7,4.0,5,3.0,91970.0,No,2,No,Single,5,Master
2761,20,Sales,20,6,2.0,2,4.0,146180.0,No,3,Yes,Single,16,Below College
999,25,HR,2,8,4.0,4,4.0,128453.0,No,1,Yes,Married,24,College
926,57,Finance,19,4,2.0,2,1.0,120728.0,No,3,No,Divorced,13,Below College
1052,18,HR,39,13,4.0,2,3.0,91630.0,No,1,No,Married,22,Doctor
1890,33,Marketing,28,11,9.0,2,4.0,54935.0,No,4,Yes,Divorced,21,Doctor
12,53,Sales,30,6,6.0,4,3.0,81529.0,No,4,Yes,Married,13,Below College
2080,59,Marketing,39,2,8.0,1,3.0,100487.0,No,1,No,Divorced,40,Master
509,34,Engineering,1,7,6.0,1,4.0,,Yes,2,Yes,Married,20,Master
1974,32,Marketing,11,12,3.0,4,4.0,140481.0,No,1,Yes,Single,40,Bachelor
1212,53,HR,16,3,8.0,3,2.0,75813.0,No,3,Yes,Single,25,Doctor
1058,27,HR,38,8,4.0,2,3.0,82723.0,Yes,1,No,Divorced,26,Below College
882,50,Finance,18,1,8.0,1,3.0,145973.0,No,4,Yes,Single,36,Doctor
1932,38,Sales,22,9,7.0,5,2.0,141663.0,No,4,No,Divorced,29,Bachelor
2254,27,Sales,26,6,3.0,4,1.0,84334.0,No,3,Yes,Divorced,7,Doctor
1187,27,Engineering,22,9,6.0,2,1.0,129747.0,No,4,Yes,Divorced,26,College
157,56,Finance,23,3,7.0,2,2.0,133394.0,No,2,No,Married,9,Doctor
2075,41,HR,39,3,6.0,5,2.0,107818.0,No,1,No,Single,40,Master
2786,51,Engineering,33,1,9.0,4,2.0,149033.0,No,1,Yes,Married,17,College
373,54,Sales,23,14,1.0,4,1.0,99654.0,No,4,No,Married,8,Master
1590,37,Engineering,25,7,9.0,1,3.0,77136.0,No,4,Yes,Single,16,Doctor
1519,36,Marketing,35,9,5.0,1,3.0,99674.0,No,1,No,Single,30,Bachelor
461,50,Sales,24,3,5.0,1,2.0,63826.0,No,4,No,Married,9,Doctor
2180,39,HR,3,7,6.0,3,3.0,144072.0,Yes,1,No,Married,17,Below College
961,19,Engineering,39,5,5.0,2,2.0,48499.0,No,3,No,Single,27,Master
1745,48,Engineering,22,12,9.0,3,1.0,80649.0,No,3,No,Married,12,Master
1390,29,Marketing,11,9,4.0,5,2.0,127192.0,No,2,Yes,Married,34,Master
2852,18,Marketing,1,12,4.0,5,2.0,43979.0,No,2,No,Single,17,Below College
2204,19,Engineering,24,8,7.0,4,2.0,138061.0,No,1,Yes,Single,30,Below College
444,33,Sales,9,12,9.0,4,1.0,116991.0,No,4,Yes,Married,38,College
881,37,Finance,39,3,7.0,5,1.0,117938.0,No,2,No,Single,46,Below College
2750,26,Marketing,11,3,9.0,4,1.0,140883.0,No,1,No,Single,26,College
276,50,HR,28,10,9.0,5,4.0,108647.0,No,1,No,Single,1,Master
721,47,Marketing,5,2,8.0,2,2.0,149492.0,No,4,Yes,Married,31,Master
2752,57,Sales,35,12,7.0,5,4.0,103694.0,No,1,Yes,Single,44,Below College
1822,18,Marketing,3,9,5.0,1,1.0,97733.0,Yes,2,Yes,Single,49,Below College
2734,56,Engineering,28,5,7.0,5,2.0,66176.0,Yes,3,Yes,Single,32,Doctor
1799,22,HR,22,11,7.0,5,4.0,40937.0,No,3,Yes,Divorced,26,Master
2560,36,Engineering,21,3,9.0,2,3.0,139619.0,No,4,No,Divorced,23,Bachelor
1977,30,Marketing,35,14,9.0,2,1.0,56592.0,No,4,No,Single,34,Master
343,56,Marketing,20,1,1.0,4,2.0,147236.0,No,3,Yes,Married,6,Doctor
2695,19,HR,13,3,5.0,4,4.0,141377.0,No,1,No,Single,47,Bachelor
